# PARSE_CENSUS in_tier=945 parse_fail=924 parse_ok=21 missing=41 tree=SCRIP 59589ee97 (parse-only: --dump-ast on each manifest in-tier file staged as .raku; scoreboard exclusions S01 S15 S17 S22 S24 S26) measured 2026-09-04 16:49 CDT by ceo, scratch parse_census.sh; columns: roast-file failing-line message source-line
S02-names-vars/perl.t	23	raku parse error line 23: syntax error	/foo/, /^.*$/,
S02-names-vars/signature.t	11	raku parse error line 11: syntax error	isa-ok :($a), Signature, ':($a) create a Signature object';
S02-names-vars/variables-and-packages.t	7	raku parse error line 7: syntax error	throws-like { EVAL 'unit module MY;' },
S02-names-vars/varnames.t	7	raku parse error line 7: syntax error	lives-ok { EVAL 'my $!' },
S02-packages/package-lookup.t	8	raku parse error line 8: syntax error	my $x = 10;
S02-types/anon_block.t	21	raku parse error line 21: syntax error	my $anon_sub_w_arg = sub ($arg) { 1 + $arg };
S02-types/array_extending.t	33	raku parse error line 33: syntax error	ok @array[20]:exists,
S02-types/array_ref.t	11	raku parse error line 11: syntax error	is($array_ref1[0], 'foo', 'got the right value at array_ref1 index 0');
S02-types/array-shapes.t	7	raku parse error line 7: syntax error	my @arr[*];
S02-types/array.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/assigning-refs.t	33	raku parse error line 33: syntax error	my $hashitem = {:a(1), :b(2), :c(3)};
S02-types/autovivification.t	8	raku parse error line 8: syntax error	my $b = %h<a><b>;
S02-types/bag.t	6	raku parse error line 6: syntax error	$x.keys.sort.map({ $^k ~ ':' ~ $x{$k} }).join(' ')
S02-types/baghash.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/bool.t	7	raku parse error line 7: syntax error	isa-ok(Bool::True, Bool);
S02-types/built-in.t	11	raku parse error line 11: syntax error	throws-like {
S02-types/capture.t	12	raku parse error line 12: syntax error	is foo1(|$capture), "1!2!3",
S02-types/catch_type_cast_mismatch.t	15	raku parse error line 15: syntax error	nok $ref ~~ Positional, "It's not a positional";
S02-types/compact.t	9	raku parse error line 9: syntax error	my uint8 @buffer = ('A' .. 'Z').map({ .ord }).list;
S02-types/declare.t	23	raku parse error line 23: syntax error	my Complex $namcu = 1.3 + 0i;
S02-types/fatrat.t	7	raku parse error line 7: syntax error	my $fatty := FatRat.new(9,10);
S02-types/flattening.t	18	raku parse error line 18: syntax error	is(@array[0][0],    11, 'first element in first arrayitem is 11');
S02-types/hash_ref.t	8	raku parse error line 8: syntax error	isa-ok $hash, Any;
S02-types/hash.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/infinity.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/instants-and-durations.t	9	raku parse error line 9: syntax error	isa-ok $i, Instant, 'now returns an Instant';
S02-types/int-uint.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/is-type.t	6	raku parse error line 6: syntax error	my @a is Buf;
S02-types/isDEPRECATED.t	1	raku parse error line 1: syntax error	BEGIN %*ENV<RAKUDO_DEPRECATIONS_FATAL>:delete; # disable fatal setting for tests
S02-types/lazy-lists.t	27	raku parse error line 27: syntax error	isa-ok( (1...Inf).elems,
S02-types/lists.t	15	raku parse error line 15: syntax error	try { ($foo, "does_not_matter")[0] = 23 };
S02-types/mix.t	8	raku parse error line 8: syntax error	$x.keys.sort.map({ $^k ~ ':' ~ $x{$k} }).join(' ')
S02-types/mixhash.t	12	raku parse error line 12: syntax error	$x.keys.sort.map({"$_:{$x{$_}}"}).join(' ')
S02-types/mixed_multi_dimensional.t	33	raku parse error line 33: syntax error	is(@array[0]<key>, 'value', 'got the right pair value');
S02-types/multi_dimensional_array.t	16	raku parse error line 16: syntax error	my @md[2;2];
S02-types/nan.t	18	raku parse error line 18: syntax error	ok NaN ~~ NaN, 'NaN is a NaN';
S02-types/native.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/nested_arrays.t	37	raku parse error line 37: syntax error	my @b = map { @a[1 - $_][0] }, 0 .. 3;
S02-types/nested_pairs.t	13	raku parse error line 13: syntax error	my $list := (1 => (2 => (3 => 4)));
S02-types/nil.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/num.t	36	raku parse error line 36: syntax error	is(~$a, "1", '1/1 stringification works');
S02-types/pair.t	10	raku parse error line 10: syntax error	Pair.new(:key<foo>, :value<bar>), 'Pair.new(:key,:value)',
S02-types/list.t	7	raku parse error line 7: syntax error	isa-ok (5, 7, 8), List, '(5, 7, 8) is List';
S02-types/parsing-bool.t	8	raku parse error line 8: syntax error	is (try { 42 or Bool::False }), 42, "Bool::False as RHS";
S02-types/range.t	9	raku parse error line 9: syntax error	isa-ok $r, Range, 'Type';
S02-types/resolved-in-setting.t	10	raku parse error line 10: syntax error	my class Parameter { }
S02-types/set.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/sethash.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S02-types/sigils-and-types.t	6	raku parse error line 6: syntax error	ok $scalar.WHAT === Any, 'unitialized $var does Mu';
S02-types/stash.t	9	raku parse error line 9: syntax error	sub S (Stash $s) { $s.WHAT.raku };
S02-types/subscripts_and_context.t	16	raku parse error line 16: syntax error	is ~@sliced, "a b", "context inside of array subscripts for slices";
S02-types/type.t	14	raku parse error line 14: syntax error	ok(try {my Int $foo; 1}, 'compile my Int $foo');
S02-types/undefined-types.t	13	raku parse error line 13: syntax error	ok (@a.push: Empty) =:= @a, "Pushing Empty returns same array";
S02-types/version.t	8	raku parse error line 8: syntax error	my $x = shift @v;
S02-types/whatever.t	11	raku parse error line 11: syntax error	my $x = *;
S02-types/WHICH.t	3	raku parse error line 3: syntax error	my @normal = <
S03-binding/arrays.t	15	raku parse error line 15: syntax error	try { @array[1] := $var };
S03-binding/attributes.t	13	raku parse error line 13: syntax error	my class Klass1 { has $.x; method bind { $!x := $var } }
S03-binding/closure.t	5	raku parse error line 5: syntax error	is EVAL(q[
S03-binding/hashes.t	11	raku parse error line 11: syntax error	my %hash  = (:a<x>, :b<y>, :c<z>);
S03-binding/nested.t	15	raku parse error line 15: syntax error	ignored => 23,
S03-binding/ro.t	11	raku parse error line 11: syntax error	$x ::= $y;
S03-binding/scalars.t	19	raku parse error line 19: syntax error	my $y := $x;
S03-feeds/basic.t	18	raku parse error line 18: syntax error	my (@b, @c);
S03-junctions/associative.t	10	raku parse error line 10: syntax error	(-> Any $x { @e.push: $x }).($j);
S03-junctions/autothreading.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S03-junctions/boolean-context.t	12	raku parse error line 12: syntax error	ok !(1^2), '1^2 in boolean context';
S03-junctions/misc.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S03-metaops/cross.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S03-metaops/eager-hyper.t	10	raku parse error line 10: syntax error	my $test := gather { for 1 .. 5 { $counter++; take $_ } };
S03-metaops/hyper.t	18	raku parse error line 18: syntax error	my $a      := (1,2,3);
S03-metaops/not.t	13	raku parse error line 13: syntax error	is 4 !< 5, !(4 < 5), "4 !< 5";
S03-metaops/reduce.t	25	raku parse error line 25: syntax error	is(([/]  12,4,3),  (12/4/3), "[/] works");
S03-metaops/reverse.t	17	raku parse error line 17: syntax error	is 4 Rcmp 5, 5 cmp 4, "4 Rcmp 5";
S03-metaops/zip.t	6	raku parse error line 6: syntax error	is (<a b> Z <1 2>), <a 1 b 2>, 'non-meta zip produces expected result';
S03-operators/adverbial-modifiers.t	6	raku parse error line 6: syntax error	sub prefix:<blub> (Str $foo, Int :$times = 1) {
S03-operators/also.t	6	raku parse error line 6: syntax error	ok ?(1 S& 2),         "basic infix:<S&>";
S03-operators/andthen.t	4	raku parse error line 4: syntax error	is (1 andthen 2), 2, 'andthen basics';
S03-operators/orelse.t	5	raku parse error line 5: syntax error	is (1 orelse 2), 1, 'orelse basics';
S03-operators/arith.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S03-operators/assign-is-not-binding.t	34	raku parse error line 34: syntax error	}
S03-operators/assign.t	20	raku parse error line 20: syntax error	&infix:<=>.($x, 0);
S03-operators/autoincrement-range.t	15	raku parse error line 15: syntax error	ok( --$x ~~ Failure, "'AAA'-- fails" );
S03-operators/autoincrement.t	26	raku parse error line 26: syntax error	is(0 + ++@x[0] - 1, $base, '0 + ++@x[0] - 1');
S03-operators/autovivification.t	10	raku parse error line 10: syntax error	}
S03-operators/basic-types.t	11	raku parse error line 11: syntax error	ok(@a ~~ Array, 'it is an Array type');
S03-operators/bit.t	15	raku parse error line 15: syntax error	is( 0xdead +& 0xbeef,   0x9ead,    'numeric bitwise +& of hexadecimal' );
S03-operators/boolean-bitwise.t	23	raku parse error line 23: syntax error	ok( ?(infix:<?|>(True) == True), '?| works with one argument');
S03-operators/brainos.t	16	raku parse error line 16: syntax error	try { EVAL '$str =~ m/bar/;' };
S03-operators/composition.t	8	raku parse error line 8: syntax error	is (&invert o &double)(0.25), 2, 'Basic function composition (1)';
S03-operators/custom.t	8	raku parse error line 8: syntax error	multi infix:<< - >>(e1, e2) { return "AWW" };
S03-operators/buf.t	5	raku parse error line 5: syntax error	ok (~^"foo".encode eqv utf8.new(0x99, 0x90, 0x90)), 'prefix:<~^>';
S03-operators/chained-declarators.t	14	raku parse error line 14: syntax error	is((try {  my $a1 = my    $b1 = 42; $b1++; "$a1, $b1" }), '42, 43', "chained my");
S03-operators/cmp.t	7	raku parse error line 7: syntax error	is 5 cmp 6, Order::Less, "cmp on int (1)";
S03-operators/comparison-simple.t	10	raku parse error line 10: syntax error	is(1 <=> 1, Order::Same, '1 <=> 1 is same');
S03-operators/comparison.t	8	raku parse error line 8: syntax error	is-deeply(+Order::Less, -1, 'Order::Less numifies to -1');
S03-operators/context-forcers.t	8	raku parse error line 8: syntax error	sub iis(Mu $a, Mu $b, $descr) is test-assertion {
S03-operators/context.t	16	raku parse error line 16: syntax error	isa-ok((list $a).WHAT, List, '(list values) returns nothing more than a List');
S03-operators/equality.t	42	raku parse error line 42: syntax error	ok &infix:<==>(False), "&infix:<==> with one argument is correct";
S03-operators/eqv.t	10	raku parse error line 10: syntax error	ok  (1 eqv 1), "eqv on values (1)";
S03-operators/flip-flop.t	11	raku parse error line 11: syntax error	ok (1 ff 1), 'flip-flop operator implemented';
S03-operators/gcd.t	12	raku parse error line 12: syntax error	is-deeply 10 gcd 5, 5, "The gcd of 10 and 5 is 5";
S03-operators/div.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S03-operators/identity.t	12	raku parse error line 12: syntax error	ok  ($foo =:= $foo), '$foo =:= $foo is true';
S03-operators/increment.t	28	raku parse error line 28: syntax error	%a{"a"}++;
S03-operators/infixed-function.t	5	raku parse error line 5: syntax error	is 3 [&atan2] 4, atan2(3, 4), "3 [&atan2] 4 == atan2(3, 4)";
S03-operators/inplace.t	9	raku parse error line 9: syntax error	lives-ok({@a .= map: { $_ + 1 }}, '.= runs with block');
S03-operators/is-divisible-by.t	8	raku parse error line 8: syntax error	isa-ok 6 %% 3, Bool, '6 %% 3 isa Bool';
S03-operators/lcm.t	12	raku parse error line 12: syntax error	is 10 lcm 5, 10, "The lcm of 10 and 5 is 10";
S03-operators/list-quote-junction.t	43	raku parse error line 43: syntax error	ok( $str ~~ (any <foo bar baz>), "'$str' matches any <foo bar baz>" );
S03-operators/minmax.t	20	raku parse error line 20: syntax error	is 1 min 2, 1, 'can ye handle that?';
S03-operators/misc.t	57	raku parse error line 57: syntax error	(my @s)[0] //= 5;
S03-operators/names.t	4	raku parse error line 4: syntax error	is &infix:<+>(3, 8), 11, 'Can refer to &infix:<+>';
S03-operators/nesting.t	7	raku parse error line 7: syntax error	ok &infix:<+>  === &[+],  'long and short form are the same (+)';
S03-operators/not.t	6	raku parse error line 6: syntax error	nok(not 1,     "not 1 is false");
S03-operators/numeric-shift.t	5	raku parse error line 5: syntax error	sub check ($a, $b, $ls, $rs) is test-assertion {
S03-operators/overflow.t	79	raku parse error line 79: syntax error	is(0x80000000 div 1, 0x80000000, "0x80000000 div 1 == 0x80000000");
S03-operators/precedence.t	2	raku parse error line 2: syntax error	use lib $*PROGRAM.parent(2).add: 'packages/Test-Helpers';
S03-operators/range-basic.t	5	raku parse error line 5: syntax error	sub test($range,$min,$max,$exmin,$exmax,$inf,$elems,$perl) is test-assertion {
S03-operators/range-int.t	4	raku parse error line 4: syntax error	is ~(-17..-19), '', '-17..-19';
S03-operators/range.t	10	raku parse error line 10: syntax error	is ~(3..6), "3 4 5 6", "(..) works on numbers (1)";
S03-operators/reduce-le1arg.t	8	raku parse error line 8: syntax error	is ([**] ()), 1, "[**] () eq 1 (arguably nonsensical)";
S03-operators/relational.t	51	raku parse error line 51: syntax error	is(1 < 2,  Bool::True,  '< true');
S03-operators/repeat.t	26	raku parse error line 26: syntax error	throws-like ｢'a' x -NaN｣, X::Numeric::CannotConvert,
S03-operators/scalar-assign.t	11	raku parse error line 11: syntax error	($x = $y) = 5;
S03-operators/short-circuit.t	23	raku parse error line 23: syntax error	sub accumtest($expect, $op) is test-assertion {
S03-operators/so.t	6	raku parse error line 6: syntax error	ok(so 1,     "so 1 is true");
S03-operators/spaceship-and-containers.t	9	raku parse error line 9: syntax error	is(%h{"a"} <=> %h{"b"}, Order::Less, 'comparing hash values');
S03-operators/spaceship.t	7	raku parse error line 7: syntax error	my %ball = map {; $_ => 1 }, 1..12;
S03-operators/subscript-adverbs.t	12	raku parse error line 12: syntax error	isa-ok @array[0]:p, Pair,
